species_name,genus_name,family_name,order_name
Acaena subtussericascens,Acaena,Rosaceae,Rosales
Acaena subtusvillosula,Acaena,Rosaceae,Rosales
Acaena tardans,Acaena,Rosaceae,Rosales
Acaena tasmanica,Acaena,Rosaceae,Rosales
Acaena tasmanica,Acaena,Rosaceae,Rosales
Acaena tehuelcha,Acaena,Rosaceae,Rosales
Acaena tenera,Acaena,Rosaceae,Rosales
Acaena tenuifolia,Acaena,Rosaceae,Rosales
Acaena tenuipila,Acaena,Rosaceae,Rosales
Acaena tesca,Acaena,Rosaceae,Rosales
Acaena tomentella,Acaena,Rosaceae,Rosales
Acaena tomentosa,Acaena,Rosaceae,Rosales
Acaena torilicarpa,Acaena,Rosaceae,Rosales
Acaena transitoria,Acaena,Rosaceae,Rosales
Acaena tridactyla,Acaena,Rosaceae,Rosales
Acaena trifida,Acaena,Rosaceae,Rosales
Acaena trifida,Acaena,Rosaceae,Rosales
Acaena trifida,Acaena,Rosaceae,Rosales
Acaena triglochin,Acaena,Rosaceae,Rosales
Acaena valdiviana,Acaena,Rosaceae,Rosales
Acaena valida,Acaena,Rosaceae,Rosales
Acaena venulosa,Acaena,Rosaceae,Rosales
Acaena vinosa,Acaena,Rosaceae,Rosales
Acaena viridior,Acaena,Rosaceae,Rosales
Agrimonia decumbens,Acaena,Rosaceae,Rosales
Ancistrum acaena,Acaena,Rosaceae,Rosales
Ancistrum acorna,Acaena,Rosaceae,Rosales
Ancistrum adscendens,Acaena,Rosaceae,Rosales
Ancistrum anserinaefolium,Acaena,Rosaceae,Rosales
Ancistrum anserinifolium,Acaena,Rosaceae,Rosales
Ancistrum argenteum,Acaena,Rosaceae,Rosales
Ancistrum argenteum,Acaena,Rosaceae,Rosales
Ancistrum cylindristachyum,Acaena,Rosaceae,Rosales
Ancistrum decumbens,Acaena,Rosaceae,Rosales
Ancistrum decumbens,Acaena,Rosaceae,Rosales
Ancistrum decumbens,Acaena,Rosaceae,Rosales
Ancistrum diandrum,Acaena,Rosaceae,Rosales
Ancistrum elongatum,Acaena,Rosaceae,Rosales
Ancistrum humile,Acaena,Rosaceae,Rosales
Ancistrum laevigatum,Acaena,Rosaceae,Rosales
Ancistrum lappaceum,Acaena,Rosaceae,Rosales
Ancistrum latebrosum,Acaena,Rosaceae,Rosales
Ancistrum latebrosum,Acaena,Rosaceae,Rosales
Ancistrum lucidum,Acaena,Rosaceae,Rosales
Ancistrum lucidum,Acaena,Rosaceae,Rosales
Ancistrum magellanicum,Acaena,Rosaceae,Rosales
Ancistrum ovalifolium,Acaena,Rosaceae,Rosales
Ancistrum pinnatifidum,Acaena,Rosaceae,Rosales
Ancistrum pumilum,Acaena,Rosaceae,Rosales
Ancistrum repens,Acaena,Rosaceae,Rosales
Ancistrum sanguisorbae,Acaena,Rosaceae,Rosales
Ancistrum sarmentosum,Acaena,Rosaceae,Rosales
Ancistrum trifidum,Acaena,Rosaceae,Rosales
Lasiocarpus humilis,Acaena,Rosaceae,Rosales
Lasiocarpus humilis,Acaena,Rosaceae,Rosales
Poterium australe,Acaena,Rosaceae,Rosales
Poterium humile,Acaena,Rosaceae,Rosales
Poterium humile,Acaena,Rosaceae,Rosales
Poterium lucidum,Acaena,Rosaceae,Rosales
